Open,High,Low,Close,Adj Close,Volume,Ticker,Date
183.77000427246094,184.32000732421875,182.0800018310547,184.30999755859375,156.00970458984375,4193500,VOO,2016-01-04
184.57000732421875,185.1199951171875,183.42999267578125,184.63999938964844,156.2890167236328,2882500,VOO,2016-01-05
181.92999267578125,183.3800048828125,181.19000244140625,182.3000030517578,154.3083038330078,2755100,VOO,2016-01-06
179.14999389648438,181.0,177.5,177.86000061035156,150.55003356933594,4952500,VOO,2016-01-07
178.97000122070312,179.52999877929688,175.64999389648438,175.97000122070312,148.9502716064453,7357300,VOO,2016-01-08
177.0399932861328,177.32000732421875,174.05999755859375,175.99000549316406,148.96717834472656,4493300,VOO,2016-01-11
177.75,178.36000061035156,175.25999450683594,177.4499969482422,150.20303344726562,2998800,VOO,2016-01-12
178.42999267578125,178.63999938964844,172.72000122070312,173.11000061035156,146.52938842773438,4125700,VOO,2016-01-13
173.7899932861328,177.17999267578125,172.05999755859375,175.9199981689453,148.90797424316406,5081400,VOO,2016-01-14
171.1999969482422,173.05999755859375,170.10000610351562,172.14999389648438,145.7168426513672,8087300,VOO,2016-01-15
174.1999969482422,174.2899932861328,170.72000122070312,172.33999633789062,145.87762451171875,5863300,VOO,2016-01-19
169.58999633789062,171.8800048828125,165.9600067138672,170.32000732421875,144.16778564453125,8577600,VOO,2016-01-20
170.7899932861328,173.13999938964844,169.3300018310547,171.14999389648438,144.87037658691406,3004600,VOO,2016-01-21
174.02999877929688,174.86000061035156,173.17999267578125,174.66000366210938,147.84136962890625,2611700,VOO,2016-01-22
174.10000610351562,174.3300018310547,171.8300018310547,172.07000732421875,145.64910888671875,2756400,VOO,2016-01-25
172.85000610351562,174.66000366210938,172.38999938964844,174.39999389648438,147.62132263183594,2263700,VOO,2016-01-26
173.88999938964844,175.6199951171875,171.5,172.4199981689453,145.94534301757812,3543000,VOO,2016-01-27
174.1300048828125,174.35000610351562,171.64999389648438,173.36000061035156,146.74102783203125,2616400,VOO,2016-01-28
174.33999633789062,177.75,174.0800018310547,177.75,150.45693969726562,4453100,VOO,2016-01-29
176.61000061035156,178.38999938964844,175.91000366210938,177.58999633789062,149.89730834960938,3923200,VOO,2016-02-01
175.86000061035156,176.08999633789062,173.8000030517578,174.3699951171875,147.17938232421875,5101200,VOO,2016-02-02
175.47000122070312,175.80999755859375,171.57000732421875,175.38999938964844,148.04037475585938,3871000,VOO,2016-02-03
174.9499969482422,176.6999969482422,174.22999572753906,175.61000061035156,148.22605895996094,3562200,VOO,2016-02-04
175.0399932861328,175.19000244140625,171.64999389648438,172.30999755859375,145.4406280517578,2371900,VOO,2016-02-05
170.2899932861328,170.6199951171875,167.6199951171875,169.94000244140625,143.44020080566406,3402000,VOO,2016-02-08
168.17999267578125,171.3699951171875,167.97000122070312,169.99000549316406,143.48243713378906,2360700,VOO,2016-02-09
170.92999267578125,172.64999389648438,169.72000122070312,169.8800048828125,143.3895721435547,1953600,VOO,2016-02-10
167.25999450683594,168.72000122070312,166.0500030517578,167.6999969482422,141.5494842529297,3439200,VOO,2016-02-11
169.5399932861328,171.13999938964844,168.6999969482422,171.13999938964844,144.4530792236328,1800300,VOO,2016-02-12
173.1999969482422,174.00999450683594,172.0500030517578,174.00999450683594,146.8755645751953,2361000,VOO,2016-02-16
